bioproject,acc,biosample,consent,releasedate,librarysource,libraryselection,librarylayout,platform,instrument,organism,mbases,avgspotlen,assay_type,group,sample
PRJDB18854,DRR597779,SAMD00596913,public,2025-05-09,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9999,299,WGS,SAMD00596913,DRR597779
PRJNA1257550,SRR33527490,SAMN48416030,public,2025-05-15,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9964,299,WGS,SAMN48416030,SRR33527490
PRJNA948840,SRR24045103,SAMN34037708,public,2025-06-17,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9944,302,WGS,SAMN34037708,SRR24045103
PRJNA1258884,SRR33520538,SAMN48395841,public,2025-05-12,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9939,301,WGS,SAMN48395841,SRR33520538
PRJNA1214038,SRR32075475,SAMN46356811,public,2025-06-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 2000,human gut metagenome,2690,297,WGS,SAMN46356811,SRR32075475
PRJNA1266263,SRR33660343,SAMN48672168,public,2025-05-21,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq X,human gut metagenome,9151,247,WGA,SAMN48672168,SRR33660343
PRJNA486009,SRR24204194,SAMN34233849,public,2025-06-04,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,human gut metagenome,4284,291,WGS,SAMN34233849,SRR24204194
PRJNA1267192,SRR33686754,SAMN48714004,public,2025-05-23,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human gut metagenome,5355,255,WGS,SAMN48714004,SRR33686754
PRJEB63587,ERR13105644,SAMEA115577258,public,2025-06-27,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,unspecified,human gut metagenome,4167,300,OTHER,SAMEA115577258,ERR13105644
PRJNA1274946,SRR33937478,SAMN49005482,public,2025-07-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9997,302,WGS,SAMN49005482,SRR33937478
PRJNA1125469,SRR32138648,SAMN46385433,public,2025-05-07,METAGENOMIC,size fractionation,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9909,294,WGS,SAMN46385433,SRR32138648
PRJNA1257550,SRR33527046,SAMN48415921,public,2025-05-15,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9961,292,WGS,SAMN48415921,SRR33527046
PRJDB18854,DRR597791,SAMD00608535,public,2025-05-09,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9653,299,WGS,SAMD00608535,DRR597791
PRJNA1177516,SRR31487674,SAMN44592656,public,2025-06-10,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 2000,human feces metagenome,9898,299,WGS,SAMN44592656,SRR31487674
PRJNA1267192,SRR33686769,SAMN48713990,public,2025-05-23,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human gut metagenome,5275,267,WGS,SAMN48713990,SRR33686769
PRJNA1274164,SRR33963736,SAMN49039747,public,2025-06-13,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,7625,291,WGS,SAMN49039747,SRR33963736
PRJNA1221235,SRR32277481,SAMN46734865,public,2025-07-16,GENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 2000,human gut metagenome,9576,302,WGS,SAMN46734865,SRR32277481
PRJEB90858,ERR15143254,SAMEA118585220,public,2025-07-15,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 2000,human feces metagenome,9545,189,OTHER,SAMEA118585220,ERR15143254
