bioproject,acc,biosample,consent,releasedate,librarysource,libraryselection,librarylayout,platform,instrument,organism,mbases,avgspotlen,assay_type,group,sample
PRJNA1111475,SRR29213214,SAMN41394153,public,2025-02-05,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,9183,302,WGS,SAMN41394153,SRR29213214
PRJNA1134112,SRR29763452,SAMN42393321,public,2024-07-10,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,9956,302,WGS,SAMN42393321,SRR29763452
PRJNA1211286,SRR32020035,SAMN46271831,public,2025-04-17,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,6518,279,WGS,SAMN46271831,SRR32020035
PRJNA935265,SRR23704109,SAMN33331109,public,2025-01-20,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina HiSeq 4000,human skin metagenome,6942,302,WGS,SAMN33331109,SRR23704109
PRJEB39614,ERR4384007,SAMEA7094279,public,2021-03-15,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,9310,252,WGS,SAMEA7094279,ERR4384007
PRJNA659776,SRR12542659,SAMN15925785,public,2021-09-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human skin metagenome,9751,302,WGS,SAMN15925785,SRR12542659
PRJNA1155269,SRR30883054,SAMN43494643,public,2024-11-25,GENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,5320,236,WGS,SAMN43494643,SRR30883054
PRJNA763232,SRR15899484,SAMN21436454,public,2021-09-15,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,7030,274,WGS,SAMN21436454,SRR15899484
PRJNA415710,SRR6216778,SAMN07833465,public,2018-12-31,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human skin metagenome,4133,278,WGS,SAMN07833465,SRR6216778
PRJNA604820,SRR17548787,SAMN21207574,public,2022-01-12,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,8227,302,WGS,SAMN21207574,SRR17548787
PRJNA855020,SRR19981804,SAMN29478169,public,2022-07-05,TRANSCRIPTOMIC,RT-PCR,PAIRED,ILLUMINA,HiSeq X Ten,human skin metagenome,9785,300,RNA-Seq,SAMN29478169,SRR19981804
PRJNA558989,SRR9965901,SAMN12509001,public,2020-08-16,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,3503,302,WGS,SAMN12509001,SRR9965901
PRJNA558989,SRR9965905,SAMN12508997,public,2020-08-16,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,8978,302,WGS,SAMN12508997,SRR9965905
PRJNA855020,SRR19981808,SAMN29478165,public,2022-07-05,TRANSCRIPTOMIC,RT-PCR,PAIRED,ILLUMINA,HiSeq X Ten,human skin metagenome,9274,300,RNA-Seq,SAMN29478165,SRR19981808
PRJNA872116,SRR21974035,SAMN30890149,public,2023-06-29,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,8928,302,WGS,SAMN30890149,SRR21974035
PRJNA415710,SRR6216751,SAMN07833452,public,2018-12-31,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human skin metagenome,1393,273,WGS,SAMN07833452,SRR6216751
PRJNA763232,SRR15899422,SAMN21436511,public,2021-09-15,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,7238,249,WGS,SAMN21436511,SRR15899422
PRJNA732527,SRR14741626,SAMN19580724,public,2025-06-05,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,9860,195,WGS,SAMN19580724,SRR14741626
PRJEB39614,ERR4384006,SAMEA7094278,public,2021-03-15,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,8984,252,WGS,SAMEA7094278,ERR4384006
PRJEB67362,ERR12160680,SAMEA114404540,public,2023-10-27,METAGENOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq X,human skin metagenome,5189,302,WGS,SAMEA114404540,ERR12160680
PRJNA1134112,SRR29763433,SAMN42393238,public,2024-07-10,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,9765,302,WGS,SAMN42393238,SRR29763433
PRJNA1134112,SRR29763358,SAMN42393483,public,2024-07-10,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,9656,302,WGS,SAMN42393483,SRR29763358
PRJNA937066,SRR23595627,SAMN33388228,public,2023-09-24,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq X,human skin metagenome,7861,302,WGS,SAMN33388228,SRR23595627
PRJNA642893,SRR12173445,SAMN15405829,public,2021-03-11,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,9835,302,WGS,SAMN15405829,SRR12173445
PRJEB39614,ERR4384001,SAMEA7094273,public,2021-03-15,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,9106,252,WGS,SAMEA7094273,ERR4384001
PRJEB67362,ERR12160690,SAMEA114404550,public,2023-10-27,METAGENOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq X,human skin metagenome,5659,302,WGS,SAMEA114404550,ERR12160690
PRJNA732527,SRR14741585,SAMN19580632,public,2025-06-05,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,9998,192,WGS,SAMN19580632,SRR14741585
PRJNA642893,SRR12173680,SAMN15405858,public,2021-03-11,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,9445,302,WGS,SAMN15405858,SRR12173680
PRJNA1155269,SRR30883069,SAMN43494687,public,2024-11-25,GENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,4797,269,WGS,SAMN43494687,SRR30883069
PRJNA506988,SRR8247761,SAMN10478133,public,2018-11-29,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina HiSeq 4000,human skin metagenome,5591,290,WGA,SAMN10478133,SRR8247761
PRJNA260091,SRR1290824,SAMN02777104,public,2016-03-25,METATRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 1000,human skin metagenome,7896,200,RNA-Seq,SAMN02777104,SRR1290824
PRJNA872116,SRR21973346,SAMN30890131,public,2023-06-29,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,9051,302,WGS,SAMN30890131,SRR21973346
PRJNA471898,SRR7687983,SAMN09715303,public,2018-10-12,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,6426,252,WGS,SAMN09715303,SRR7687983
PRJNA855020,SRR19981809,SAMN29478164,public,2022-07-05,TRANSCRIPTOMIC,RT-PCR,PAIRED,ILLUMINA,HiSeq X Ten,human skin metagenome,9201,300,RNA-Seq,SAMN29478164,SRR19981809
PRJNA558989,SRR9965904,SAMN12508998,public,2020-08-16,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,4791,302,WGS,SAMN12508998,SRR9965904
PRJNA906500,SRR22444238,SAMN31926675,public,2022-12-08,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,9760,302,WGS,SAMN31926675,SRR22444238
PRJNA1095567,SRR28535445,SAMN40729990,public,2024-04-05,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,6266,502,WGS,SAMN40729990,SRR28535445
PRJNA604820,SRR17548779,SAMN21207566,public,2022-01-12,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,9469,302,WGS,SAMN21207566,SRR17548779
PRJNA1155269,SRR30883095,SAMN43494664,public,2024-11-25,GENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,6471,282,WGS,SAMN43494664,SRR30883095
PRJNA266117,SRR1647526,SAMN03160159,public,2014-11-16,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,2060,260,WGA,SAMN03160159,SRR1647526
PRJNA1111475,SRR29213212,SAMN41394151,public,2025-02-05,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,9303,302,WGS,SAMN41394151,SRR29213212
PRJNA1111475,SRR29213201,SAMN41394140,public,2025-02-05,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,9438,302,WGS,SAMN41394140,SRR29213201
PRJNA935265,SRR23704081,SAMN33331137,public,2025-01-20,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina HiSeq 4000,human skin metagenome,6790,302,WGS,SAMN33331137,SRR23704081
PRJNA1013332,SRR25936502,SAMN37295790,public,2023-09-07,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 3000,human skin metagenome,9939,300,WGS,SAMN37295790,SRR25936502
PRJNA1095567,SRR28535447,SAMN40730006,public,2024-04-05,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,6323,502,WGS,SAMN40730006,SRR28535447
PRJNA935688,SRR23496200,SAMN33323458,public,2023-06-05,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,9774,294,WGS,SAMN33323458,SRR23496200
