sample,bioproject,group,biosample,acc,fastq_1,fastq_2,fna
liang_100_enriched,PRJNA524703,liang_100,SAMN11031368,SRR8652812,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_100/liang_100_enriched/readdownload/SRR8652812_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_100/liang_100_enriched/readdownload/SRR8652812_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_100/liang_100_enriched/megahit/liang_100_enriched.contigs.fa.gz
liang_100_unenriched,PRJNA524703,liang_100,SAMN11031368,SRR9670878,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_100/liang_100_unenriched/readdownload/SRR9670878_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_100/liang_100_unenriched/readdownload/SRR9670878_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_100/liang_100_unenriched/megahit/liang_100_unenriched.contigs.fa.gz
liang_101_enriched,PRJNA524703,liang_101,SAMN11031369,SRR8652813,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_101/liang_101_enriched/readdownload/SRR8652813_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_101/liang_101_enriched/readdownload/SRR8652813_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_101/liang_101_enriched/megahit/liang_101_enriched.contigs.fa.gz
liang_101_unenriched,PRJNA524703,liang_101,SAMN11031369,SRR9670879,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_101/liang_101_unenriched/readdownload/SRR9670879_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_101/liang_101_unenriched/readdownload/SRR9670879_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_101/liang_101_unenriched/megahit/liang_101_unenriched.contigs.fa.gz
liang_105_enriched,PRJNA524703,liang_105,SAMN11031371,SRR8653159,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_105/liang_105_enriched/readdownload/SRR8653159_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_105/liang_105_enriched/readdownload/SRR8653159_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_105/liang_105_enriched/megahit/liang_105_enriched.contigs.fa.gz
liang_105_unenriched,PRJNA524703,liang_105,SAMN11031371,SRR9670881,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_105/liang_105_unenriched/readdownload/SRR9670881_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_105/liang_105_unenriched/readdownload/SRR9670881_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_105/liang_105_unenriched/megahit/liang_105_unenriched.contigs.fa.gz
liang_126_enriched,PRJNA524703,liang_126,SAMN11031377,SRR8653153,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_126/liang_126_enriched/readdownload/SRR8653153_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_126/liang_126_enriched/readdownload/SRR8653153_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_126/liang_126_enriched/megahit/liang_126_enriched.contigs.fa.gz
liang_126_unenriched,PRJNA524703,liang_126,SAMN11031377,SRR9670871,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_126/liang_126_unenriched/readdownload/SRR9670871_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_126/liang_126_unenriched/readdownload/SRR9670871_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_126/liang_126_unenriched/megahit/liang_126_unenriched.contigs.fa.gz
liang_133_enriched,PRJNA524703,liang_133,SAMN11031379,SRR8653151,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_133/liang_133_enriched/readdownload/SRR8653151_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_133/liang_133_enriched/readdownload/SRR8653151_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_133/liang_133_enriched/megahit/liang_133_enriched.contigs.fa.gz
liang_133_unenriched,PRJNA524703,liang_133,SAMN11031379,SRR9670862,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_133/liang_133_unenriched/readdownload/SRR9670862_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_133/liang_133_unenriched/readdownload/SRR9670862_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_133/liang_133_unenriched/megahit/liang_133_unenriched.contigs.fa.gz
