bioproject,acc,biosample,consent,releasedate,librarysource,libraryselection,librarylayout,platform,instrument,organism,mbases,avgspotlen,assay_type,group,sample
PRJNA1129267,SRR29646171,SAMN42148624,public,2025-06-21,TRANSCRIPTOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,4123,302,RNA-Seq,SAMN42148624,SRR29646171
PRJDB20343,DRR658767,SAMD00889233,public,2025-05-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X,human oral metagenome,2821,299,WGS,SAMD00889233,DRR658767
PRJDB20343,DRR658775,SAMD00889241,public,2025-05-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X,human oral metagenome,9461,299,WGS,SAMD00889241,DRR658775
PRJNA1129267,SRR29646177,SAMN42148610,public,2025-06-21,TRANSCRIPTOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,3537,302,RNA-Seq,SAMN42148610,SRR29646177
PRJNA1129267,SRR29646163,SAMN42148619,public,2025-06-21,TRANSCRIPTOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,4171,302,RNA-Seq,SAMN42148619,SRR29646163
PRJEB74139,ERR12814860,SAMEA115430622,public,2025-05-02,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,8020,300,WGS,SAMEA115430622,ERR12814860
PRJEB74139,ERR12814950,SAMEA115430615,public,2025-05-02,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,7840,300,WGS,SAMEA115430615,ERR12814950
PRJDB20343,DRR658771,SAMD00889237,public,2025-05-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X,human oral metagenome,7875,299,WGS,SAMD00889237,DRR658771
PRJNA698366,SRR29257785,SAMN41640539,public,2025-06-30,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human nasopharyngeal metagenome,2965,290,WGS,SAMN41640539,SRR29257785
PRJNA1129267,SRR29646172,SAMN42148623,public,2025-06-21,TRANSCRIPTOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,4073,302,RNA-Seq,SAMN42148623,SRR29646172
PRJEB79944,ERR15003884,SAMEA118336086,public,2025-05-22,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,6181,292,WGS,SAMEA118336086,ERR15003884
PRJNA1129267,SRR29646176,SAMN42148611,public,2025-06-21,TRANSCRIPTOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,3982,302,RNA-Seq,SAMN42148611,SRR29646176
PRJEB74139,ERR12814859,SAMEA115430621,public,2025-05-02,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,8149,300,WGS,SAMEA115430621,ERR12814859
PRJNA1129267,SRR29646169,SAMN42148613,public,2025-06-21,TRANSCRIPTOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,4278,302,RNA-Seq,SAMN42148613,SRR29646169
PRJEB79944,ERR15003784,SAMEA118335986,public,2025-05-21,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,7253,291,WGS,SAMEA118335986,ERR15003784
PRJNA1268909,SRR33730262,SAMN48767577,public,2025-05-28,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X Plus,human oral metagenome,3135,264,WGS,SAMN48767577,SRR33730262
PRJNA698366,SRR29257988,SAMN41640496,public,2025-06-30,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human nasopharyngeal metagenome,1316,294,WGS,SAMN41640496,SRR29257988
PRJDB20343,DRR658781,SAMD00889247,public,2025-05-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X,human oral metagenome,7266,299,WGS,SAMD00889247,DRR658781
PRJEB74139,ERR12814863,SAMEA115430624,public,2025-05-02,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,8031,300,WGS,SAMEA115430624,ERR12814863
PRJNA1129267,SRR29646167,SAMN42148615,public,2025-06-21,TRANSCRIPTOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,3744,302,RNA-Seq,SAMN42148615,SRR29646167
PRJNA1129267,SRR29646170,SAMN42148612,public,2025-06-21,TRANSCRIPTOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,3615,302,RNA-Seq,SAMN42148612,SRR29646170
PRJEB79944,ERR15003930,SAMEA118336132,public,2025-05-21,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,9114,275,WGS,SAMEA118336132,ERR15003930
PRJNA1268909,SRR33730256,SAMN48767565,public,2025-05-28,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X Plus,human oral metagenome,2735,281,WGS,SAMN48767565,SRR33730256
PRJEB79944,ERR15003786,SAMEA118335988,public,2025-05-21,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,5190,295,WGS,SAMEA118335988,ERR15003786
PRJNA698366,SRR29257786,SAMN41640538,public,2025-06-30,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human nasopharyngeal metagenome,2412,292,WGS,SAMN41640538,SRR29257786
PRJNA1268909,SRR33730226,SAMN48767610,public,2025-05-28,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X Plus,human oral metagenome,5328,240,WGS,SAMN48767610,SRR33730226
PRJDB20343,DRR658782,SAMD00889248,public,2025-05-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X,human oral metagenome,6202,299,WGS,SAMD00889248,DRR658782
PRJEB79944,ERR15003946,SAMEA118336148,public,2025-05-22,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,6966,285,WGS,SAMEA118336148,ERR15003946
PRJEB79944,ERR15003936,SAMEA118336138,public,2025-05-21,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,5056,290,WGS,SAMEA118336138,ERR15003936
PRJNA1129267,SRR29646168,SAMN42148614,public,2025-06-21,TRANSCRIPTOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,3994,302,RNA-Seq,SAMN42148614,SRR29646168
PRJNA698366,SRR29257787,SAMN41640537,public,2025-06-30,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human nasopharyngeal metagenome,2538,290,WGS,SAMN41640537,SRR29257787
PRJNA1268909,SRR33730243,SAMN48767594,public,2025-05-28,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X Plus,human oral metagenome,2936,267,WGS,SAMN48767594,SRR33730243
PRJNA1268909,SRR33730255,SAMN48767583,public,2025-05-28,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X Plus,human oral metagenome,4061,274,WGS,SAMN48767583,SRR33730255
PRJNA698366,SRR29257784,SAMN41640540,public,2025-06-30,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human nasopharyngeal metagenome,1293,289,WGS,SAMN41640540,SRR29257784
PRJEB79944,ERR15003941,SAMEA118336143,public,2025-05-21,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,5255,291,WGS,SAMEA118336143,ERR15003941
PRJDB20343,DRR658760,SAMD00889226,public,2025-05-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X,human oral metagenome,6738,299,WGS,SAMD00889226,DRR658760
PRJEB79944,ERR15003805,SAMEA118336007,public,2025-05-22,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,7397,291,WGS,SAMEA118336007,ERR15003805
PRJEB74139,ERR12814865,SAMEA115430625,public,2025-05-02,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,9449,300,WGS,SAMEA115430625,ERR12814865
PRJDB20343,DRR658753,SAMD00889219,public,2025-05-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X,human oral metagenome,8055,298,WGS,SAMD00889219,DRR658753
PRJEB74139,ERR12814951,SAMEA115430616,public,2025-05-02,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,8073,300,WGS,SAMEA115430616,ERR12814951
PRJDB20343,DRR658758,SAMD00889224,public,2025-05-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X,human oral metagenome,4709,299,WGS,SAMD00889224,DRR658758
PRJDB20343,DRR658779,SAMD00889245,public,2025-05-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X,human oral metagenome,3650,299,WGS,SAMD00889245,DRR658779
PRJEB79944,ERR15003956,SAMEA118336158,public,2025-05-21,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,4923,295,WGS,SAMEA118336158,ERR15003956
