bioproject,acc,biosample,consent,releasedate,librarysource,libraryselection,librarylayout,platform,instrument,organism,mbases,avgspotlen,assay_type,group,sample
PRJNA801448,SRR17798758,SAMN25349941,public,2022-08-25,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human urinary tract metagenome,9764,273,WGS,SAMN25349941,SRR17798758
PRJNA1274191,SRR33905908,SAMN48977869,public,2025-06-10,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina Genome Analyzer,human vaginal metagenome,5026,302,WGS,SAMN48977869,SRR33905908
PRJNA881266,SRR21604200,SAMN30889826,public,2022-10-03,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,5853,302,WGA,SAMN30889826,SRR21604200
PRJNA882412,SRR21663227,SAMN30934378,public,2022-10-13,GENOMIC,unspecified,PAIRED,ILLUMINA,Illumina HiSeq 4000,human vaginal metagenome,9928,200,WXS,SAMN30934378,SRR21663227
PRJEB34744,ERR3596488,SAMEA6084784,public,2019-11-02,METAGENOMIC,unspecified,PAIRED,ILLUMINA,Illumina MiSeq,human vaginal metagenome,1926,302,WGS,SAMEA6084784,ERR3596488
PRJNA797778,SRR17635490,SAMN25037430,public,2022-02-16,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000,human vaginal metagenome,9949,284,WGS,SAMN25037430,SRR17635490
PRJEB64671,ERR11779646,SAMEA114222642,public,2024-07-21,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,9976,296,WGS,SAMEA114222642,ERR11779646
PRJEB50547,ERR8313250,SAMEA12789651,public,2023-01-04,METATRANSCRIPTOMIC,Inverse rRNA,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,9385,199,RNA-Seq,SAMEA12789651,ERR8313250
PRJNA1179925,SRR31166387,SAMN44509290,public,2024-10-30,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,9865,302,WGS,SAMN44509290,SRR31166387
PRJNA1133690,SRR29825838,SAMN42383927,public,2025-05-31,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,9675,302,WGS,SAMN42383927,SRR29825838
PRJEB64671,ERR11779540,SAMEA114222536,public,2024-07-21,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,7268,296,WGS,SAMEA114222536,ERR11779540
PRJNA700071,SRR13740679,SAMN17964538,public,2022-01-17,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human urinary tract metagenome,2920,250,WGS,SAMN17964538,SRR13740679
PRJNA881266,SRR21604211,SAMN30889816,public,2022-10-03,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,5107,302,WGA,SAMN30889816,SRR21604211
PRJNA208535,SRR19067311,SAMN28057842,public,2023-05-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000,human vaginal metagenome,8030,290,WGS,SAMN28057842,SRR19067311
PRJNA1274191,SRR33905917,SAMN48977896,public,2025-06-10,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina Genome Analyzer,human vaginal metagenome,4701,302,WGS,SAMN48977896,SRR33905917
PRJNA576566,SRR10258549,SAMN12997190,public,2020-01-28,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,HiSeq X Ten,human vaginal metagenome,8592,300,WGS,SAMN12997190,SRR10258549
PRJNA1091563,SRR28475167,SAMN40597770,public,2024-03-27,METATRANSCRIPTOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human urinary tract metagenome,3729,101,OTHER,SAMN40597770,SRR28475167
PRJNA801448,SRR17798723,SAMN25349972,public,2022-08-25,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human urinary tract metagenome,9224,273,WGS,SAMN25349972,SRR17798723
PRJEB34536,ERR4421609,SAMEA7130493,public,2020-08-08,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human vaginal metagenome,2839,302,OTHER,SAMEA7130493,ERR4421609
PRJNA801448,SRR17798706,SAMN25349988,public,2022-08-25,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human urinary tract metagenome,8852,292,WGS,SAMN25349988,SRR17798706
PRJNA801448,SRR17798725,SAMN25349971,public,2022-08-25,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human urinary tract metagenome,8336,266,WGS,SAMN25349971,SRR17798725
PRJNA1133690,SRR29825868,SAMN42383856,public,2025-05-31,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,9631,302,WGS,SAMN42383856,SRR29825868
PRJNA555623,SRR9719710,SAMN12324620,public,2019-08-28,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,human semen metagenome,1779,98,RNA-Seq,SAMN12324620,SRR9719710
PRJNA1179925,SRR31166088,SAMN44509323,public,2024-10-30,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,9985,302,WGS,SAMN44509323,SRR31166088
PRJEB50547,ERR8313245,SAMEA12789677,public,2023-01-04,METATRANSCRIPTOMIC,Inverse rRNA,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,8805,198,RNA-Seq,SAMEA12789677,ERR8313245
PRJNA1091563,SRR28475154,SAMN40597766,public,2024-03-27,METATRANSCRIPTOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human urinary tract metagenome,3400,101,OTHER,SAMN40597766,SRR28475154
PRJNA971360,SRR24561307,SAMN35029229,public,2023-05-17,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,HiSeq X Ten,human vaginal metagenome,8849,300,WGS,SAMN35029229,SRR24561307
PRJNA797778,SRR17635783,SAMN25037471,public,2022-02-16,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000,human vaginal metagenome,9741,273,WGS,SAMN25037471,SRR17635783
PRJNA1086504,SRR28292499,SAMN40379132,public,2024-03-13,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000,human vaginal metagenome,1294,149,WGS,SAMN40379132,SRR28292499
PRJNA1086504,SRR28292467,SAMN40379122,public,2024-03-13,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000,human vaginal metagenome,2625,149,WGS,SAMN40379122,SRR28292467
PRJNA700071,SRR13740716,SAMN17964504,public,2022-01-17,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human urinary tract metagenome,3524,270,WGS,SAMN17964504,SRR13740716
PRJNA767784,SRR16503438,SAMN22416366,public,2022-11-18,METAGENOMIC,unspecified,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,2055,292,WGS,SAMN22416366,SRR16503438
PRJNA208535,SRR19067264,SAMN28057885,public,2023-05-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000,human vaginal metagenome,7606,276,WGS,SAMN28057885,SRR19067264
PRJEB34536,ERR4421552,SAMEA7130436,public,2020-08-08,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human vaginal metagenome,2485,302,OTHER,SAMEA7130436,ERR4421552
