sample,bioproject,group,biosample,acc,fastq_1,fastq_2
SAMEA115929979_ERR13506557_cf,prjeb79033,ERR13506557,SAMEA115929979,ERR13506557,,
SAMEA115929969_ERR13506540_cf,prjeb79033,ERR13506540,SAMEA115929969,ERR13506540,,
SAMEA115929978_ERR13506559_cf,prjeb79033,ERR13506559,SAMEA115929978,ERR13506559,,
SAMEA115929971_ERR13506544_cf,prjeb79033,ERR13506544,SAMEA115929971,ERR13506544,,
SAMEA115929974_ERR13506546_cf,prjeb79033,ERR13506546,SAMEA115929974,ERR13506546,,
SAMEA115929972_ERR13506542_cf,prjeb79033,ERR13506542,SAMEA115929972,ERR13506542,,
SAMEA115929987_ERR13506574_cf,prjeb79033,ERR13506574,SAMEA115929987,ERR13506574,,
SAMEA115929976_ERR13506550_cf,prjeb79033,ERR13506550,SAMEA115929976,ERR13506550,,
SAMEA115929970_ERR13506538_cf,prjeb79033,ERR13506538,SAMEA115929970,ERR13506538,,
SAMEA115929981_ERR13506565_cf,prjeb79033,ERR13506565,SAMEA115929981,ERR13506565,,
SAMEA115929984_ERR13506568_cf,prjeb79033,ERR13506568,SAMEA115929984,ERR13506568,,
SAMEA115929980_ERR13506561_cf,prjeb79033,ERR13506561,SAMEA115929980,ERR13506561,,
SAMEA115929983_ERR13506566_cf,prjeb79033,ERR13506566,SAMEA115929983,ERR13506566,,
SAMEA115929966_ERR13506530_cf,prjeb79033,ERR13506530,SAMEA115929966,ERR13506530,,
SAMEA115929985_ERR13506570_cf,prjeb79033,ERR13506570,SAMEA115929985,ERR13506570,,
SAMEA115929977_ERR13506554_cf,prjeb79033,ERR13506554,SAMEA115929977,ERR13506554,,
SAMEA115929975_ERR13506552_cf,prjeb79033,ERR13506552,SAMEA115929975,ERR13506552,,
SAMEA115929968_ERR13506534_cf,prjeb79033,ERR13506534,SAMEA115929968,ERR13506534,,
SAMEA115929967_ERR13506536_cf,prjeb79033,ERR13506536,SAMEA115929967,ERR13506536,,
SAMEA115929964_ERR13506528_cf,prjeb79033,ERR13506528,SAMEA115929964,ERR13506528,,
SAMEA115929986_ERR13506572_cf,prjeb79033,ERR13506572,SAMEA115929986,ERR13506572,,
SAMEA115929982_ERR13506563_cf,prjeb79033,ERR13506563,SAMEA115929982,ERR13506563,,
SAMEA115929973_ERR13506548_cf,prjeb79033,ERR13506548,SAMEA115929973,ERR13506548,,
SAMEA115929965_ERR13506532_cf,prjeb79033,ERR13506532,SAMEA115929965,ERR13506532,,
