sample,bioproject,group,biosample,acc,fastq_1,fastq_2,fna
SAMEA115929979_ERR13506557_cf,prjeb79033,ERR13506557,SAMEA115929979,ERR13506557,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506557/SAMEA115929979_ERR13506557_cf/readdownload/ERR13506557_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506557/SAMEA115929979_ERR13506557_cf/readdownload/ERR13506557_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506557/SAMEA115929979_ERR13506557_cf/megahit/SAMEA115929979_ERR13506557_cf.contigs.fa.gz
SAMEA115929969_ERR13506540_cf,prjeb79033,ERR13506540,SAMEA115929969,ERR13506540,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506540/SAMEA115929969_ERR13506540_cf/readdownload/ERR13506540_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506540/SAMEA115929969_ERR13506540_cf/readdownload/ERR13506540_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506540/SAMEA115929969_ERR13506540_cf/megahit/SAMEA115929969_ERR13506540_cf.contigs.fa.gz
SAMEA115929978_ERR13506559_cf,prjeb79033,ERR13506559,SAMEA115929978,ERR13506559,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506559/SAMEA115929978_ERR13506559_cf/readdownload/ERR13506559_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506559/SAMEA115929978_ERR13506559_cf/readdownload/ERR13506559_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506559/SAMEA115929978_ERR13506559_cf/megahit/SAMEA115929978_ERR13506559_cf.contigs.fa.gz
SAMEA115929971_ERR13506544_cf,prjeb79033,ERR13506544,SAMEA115929971,ERR13506544,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506544/SAMEA115929971_ERR13506544_cf/readdownload/ERR13506544_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506544/SAMEA115929971_ERR13506544_cf/readdownload/ERR13506544_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506544/SAMEA115929971_ERR13506544_cf/megahit/SAMEA115929971_ERR13506544_cf.contigs.fa.gz
SAMEA115929974_ERR13506546_cf,prjeb79033,ERR13506546,SAMEA115929974,ERR13506546,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506546/SAMEA115929974_ERR13506546_cf/readdownload/ERR13506546_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506546/SAMEA115929974_ERR13506546_cf/readdownload/ERR13506546_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506546/SAMEA115929974_ERR13506546_cf/megahit/SAMEA115929974_ERR13506546_cf.contigs.fa.gz
SAMEA115929972_ERR13506542_cf,prjeb79033,ERR13506542,SAMEA115929972,ERR13506542,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506542/SAMEA115929972_ERR13506542_cf/readdownload/ERR13506542_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506542/SAMEA115929972_ERR13506542_cf/readdownload/ERR13506542_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506542/SAMEA115929972_ERR13506542_cf/megahit/SAMEA115929972_ERR13506542_cf.contigs.fa.gz
SAMEA115929987_ERR13506574_cf,prjeb79033,ERR13506574,SAMEA115929987,ERR13506574,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506574/SAMEA115929987_ERR13506574_cf/readdownload/ERR13506574_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506574/SAMEA115929987_ERR13506574_cf/readdownload/ERR13506574_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506574/SAMEA115929987_ERR13506574_cf/megahit/SAMEA115929987_ERR13506574_cf.contigs.fa.gz
SAMEA115929976_ERR13506550_cf,prjeb79033,ERR13506550,SAMEA115929976,ERR13506550,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506550/SAMEA115929976_ERR13506550_cf/readdownload/ERR13506550_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506550/SAMEA115929976_ERR13506550_cf/readdownload/ERR13506550_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506550/SAMEA115929976_ERR13506550_cf/megahit/SAMEA115929976_ERR13506550_cf.contigs.fa.gz
SAMEA115929970_ERR13506538_cf,prjeb79033,ERR13506538,SAMEA115929970,ERR13506538,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506538/SAMEA115929970_ERR13506538_cf/readdownload/ERR13506538_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506538/SAMEA115929970_ERR13506538_cf/readdownload/ERR13506538_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506538/SAMEA115929970_ERR13506538_cf/megahit/SAMEA115929970_ERR13506538_cf.contigs.fa.gz
SAMEA115929981_ERR13506565_cf,prjeb79033,ERR13506565,SAMEA115929981,ERR13506565,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506565/SAMEA115929981_ERR13506565_cf/readdownload/ERR13506565_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506565/SAMEA115929981_ERR13506565_cf/readdownload/ERR13506565_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/results/uhvdb/assemble/prjeb79033/ERR13506565/SAMEA115929981_ERR13506565_cf/megahit/SAMEA115929981_ERR13506565_cf.contigs.fa.gz
