sample,bioproject,group,biosample,acc,fastq_1,fastq_2,coassembly_group
L06167,lipuma_aim2,L06167,L06167,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06167/L06167_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06167/L06167_2.merged.fastq.gz,L06
L06197,lipuma_aim2,L06197,L06197,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06197/L06197_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06197/L06197_2.merged.fastq.gz,L06
L06228,lipuma_aim2,L06228,L06228,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06228/L06228_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06228/L06228_2.merged.fastq.gz,L06
L06257,lipuma_aim2,L06257,L06257,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06257/L06257_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06257/L06257_2.merged.fastq.gz,L06
L06287,lipuma_aim2,L06287,L06287,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06287/L06287_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06287/L06287_2.merged.fastq.gz,L06
L06318,lipuma_aim2,L06318,L06318,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06318/L06318_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06318/L06318_2.merged.fastq.gz,L06
L06348,lipuma_aim2,L06348,L06348,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06348/L06348_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06348/L06348_2.merged.fastq.gz,L06
L06377,lipuma_aim2,L06377,L06377,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06377/L06377_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06377/L06377_2.merged.fastq.gz,L06
L06407,lipuma_aim2,L06407,L06407,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06407/L06407_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06407/L06407_2.merged.fastq.gz,L06
L06437,lipuma_aim2,L06437,L06437,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06437/L06437_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06437/L06437_2.merged.fastq.gz,L06
L06467,lipuma_aim2,L06467,L06467,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06467/L06467_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06467/L06467_2.merged.fastq.gz,L06
L06497,lipuma_aim2,L06497,L06497,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06497/L06497_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L06497/L06497_2.merged.fastq.gz,L06
